26-02-2025 23:28:43:607 | INFO | mod_generator | Successful login for user 'Joaquim' from IP 203.0.113.4
26-02-2025 23:28:45:145 | INFO | mod_generator | Successful login for user 'Carla' from IP 172.16.0.12
26-02-2025 23:28:48:676 | CRITICAL | mod_generator | Malware detected! Type: Spyware, User: 'Tiago', IP: 172.16.0.12
26-02-2025 23:28:50:221 | ERROR | mod_generator | Failed login attempt for user 'admin' from IP 172.16.0.3
26-02-2025 23:28:53:792 | INFO | mod_generator | Successful login for user 'Ana' from IP 10.0.0.2
26-02-2025 23:28:56:097 | WARNING | mod_generator | File access: User 'Carla' accessed /var/log/auth.log
26-02-2025 23:28:59:150 | INFO | mod_generator | Successful login for user 'Ana' from IP 172.16.0.12
26-02-2025 23:29:02:681 | WARNING | mod_generator | Port scan detected from IP 172.16.0.12 targeting sensitive ports
26-02-2025 23:29:05:671 | INFO | mod_generator | Successful login for user 'Joana' from IP 172.16.0.3
26-02-2025 23:29:10:458 | ERROR | mod_generator | Failed login attempt for user 'admin' from IP 198.168.1.98
26-02-2025 23:29:14:140 | INFO | mod_generator | Successful login for user 'Maria' from IP 172.16.0.12
26-02-2025 23:29:17:393 | INFO | mod_generator | Successful login for user 'Ana' from IP 203.0.113.4
26-02-2025 23:29:21:751 | ERROR | mod_generator | Failed login attempt for user 'Maria' from IP 203.0.113.4
26-02-2025 23:29:23:662 | ERROR | mod_generator | Failed login attempt for user 'Joaquim' from IP 192.168.1.1
26-02-2025 23:29:27:906 | WARNING | mod_generator | File access: User 'Rui' accessed /var/log/syslog.log
26-02-2025 23:29:32:412 | INFO | mod_generator | Successful login for user 'Maria' from IP 10.0.0.2
26-02-2025 23:29:36:291 | INFO | mod_generator | Successful login for user 'Pedro' from IP 192.168.1.1
26-02-2025 23:29:40:784 | WARNING | mod_generator | Port scan detected from IP 192.168.1.1 targeting sensitive ports
26-02-2025 23:29:45:282 | ERROR | mod_generator | Failed login attempt for user 'Tiago' from IP 172.16.0.12
26-02-2025 23:29:47:157 | INFO | mod_generator | Successful login for user 'admin' from IP 10.0.0.2
26-02-2025 23:29:50:908 | WARNING | mod_generator | Port scan detected from IP 203.0.113.4 targeting sensitive ports
26-02-2025 23:29:52:131 | INFO | mod_generator | Successful login for user 'Joana' from IP 198.168.1.98
26-02-2025 23:29:53:894 | INFO | mod_generator | Successful login for user 'Pedro' from IP 203.0.113.4
26-02-2025 23:29:58:267 | ERROR | mod_generator | Failed login attempt for user 'Carla' from IP 10.0.0.2
26-02-2025 23:30:01:703 | INFO | mod_generator | Successful login for user 'Rui' from IP 203.0.113.4
26-02-2025 23:30:03:143 | INFO | mod_generator | Successful login for user 'Bruno' from IP 198.168.1.98
26-02-2025 23:30:05:778 | INFO | mod_generator | Successful login for user 'Joana' from IP 10.0.0.2
26-02-2025 23:30:09:821 | WARNING | mod_generator | Port scan detected from IP 192.168.1.1 targeting sensitive ports
26-02-2025 23:30:11:616 | WARNING | mod_generator | Port scan detected from IP 198.168.1.98 targeting sensitive ports
26-02-2025 23:30:14:826 | WARNING | mod_generator | File access: User 'Bruno' accessed /var/log/auth.log
26-02-2025 23:30:18:720 | WARNING | mod_generator | Port scan detected from IP 198.168.1.98 targeting sensitive ports
26-02-2025 23:30:22:000 | WARNING | mod_generator | Port scan detected from IP 203.0.113.4 targeting sensitive ports
26-02-2025 23:30:24:376 | INFO | mod_generator | Successful login for user 'Rui' from IP 198.168.1.98
26-02-2025 23:30:25:736 | WARNING | mod_generator | Port scan detected from IP 203.0.113.4 targeting sensitive ports
26-02-2025 23:30:27:594 | INFO | mod_generator | Successful login for user 'Pedro' from IP 198.168.1.98
26-02-2025 23:30:29:796 | ERROR | mod_generator | Failed login attempt for user 'Ana' from IP 203.0.113.4
