27-02-2025 13:13:56:011 | WARNING | mod_generator | File access: User 'Ana' accessed /var/log/auth.log
27-02-2025 13:13:57:852 | INFO | mod_generator | Successful login for user 'Ana' from IP 203.0.113.4
27-02-2025 13:14:01:807 | CRITICAL | mod_generator | Malware detected! Type: Ransomware, User: 'Tiago', IP: 192.168.1.1
27-02-2025 13:14:05:970 | WARNING | mod_generator | Port scan detected from IP 172.16.0.3 targeting sensitive ports
27-02-2025 13:14:08:115 | WARNING | mod_generator | File access: User 'Ana' accessed /var/log/secure.log
27-02-2025 13:14:12:826 | WARNING | mod_generator | File access: User 'Ana' accessed /var/log/secure.log
27-02-2025 13:14:14:099 | INFO | mod_generator | Successful login for user 'Carla' from IP 198.51.100.5
27-02-2025 13:14:17:399 | WARNING | mod_generator | Port scan detected from IP 172.16.0.3 targeting sensitive ports
27-02-2025 13:14:20:695 | INFO | mod_generator | Successful login for user 'Bruno' from IP 10.0.0.2
27-02-2025 13:14:24:349 | INFO | mod_generator | Successful login for user 'Pedro' from IP 10.0.0.2
27-02-2025 13:14:25:448 | INFO | mod_generator | Successful login for user 'Rui' from IP 10.0.0.2
27-02-2025 13:14:27:551 | INFO | mod_generator | Successful login for user 'Joana' from IP 203.0.113.4
27-02-2025 13:14:29:320 | WARNING | mod_generator | File access: User 'Rui' accessed /var/log/syslog.log
27-02-2025 13:14:31:076 | WARNING | mod_generator | File access: User 'Pedro' accessed /var/log/syslog.log
27-02-2025 13:14:35:053 | INFO | mod_generator | Successful login for user 'admin' from IP 192.168.1.1
27-02-2025 13:14:38:494 | WARNING | mod_generator | File access: User 'admin' accessed /var/log/auth.log
27-02-2025 13:14:40:363 | INFO | mod_generator | Successful login for user 'Joana' from IP 198.168.1.98
27-02-2025 13:14:44:254 | CRITICAL | mod_generator | Malware detected! Type: Adware, User: 'Rui', IP: 192.168.1.1
27-02-2025 13:14:46:525 | INFO | mod_generator | Successful login for user 'Pedro' from IP 172.16.0.3
27-02-2025 13:14:50:376 | ERROR | mod_generator | Failed login attempt for user 'Bruno' from IP 172.16.0.12
27-02-2025 13:14:53:500 | INFO | mod_generator | Successful login for user 'Carla' from IP 172.16.0.12
27-02-2025 13:14:54:876 | WARNING | mod_generator | File access: User 'Bruno' accessed /var/log/auth.log
27-02-2025 13:14:56:231 | WARNING | mod_generator | Port scan detected from IP 172.16.0.3 targeting sensitive ports
27-02-2025 13:14:58:307 | WARNING | mod_generator | Port scan detected from IP 198.51.100.5 targeting sensitive ports
27-02-2025 13:14:59:446 | ERROR | mod_generator | Failed login attempt for user 'Carla' from IP 198.168.1.98
